"","phase","question","trialNum","swatch","response","responseCoded","rt","subid","age","timeOfTest","condition","gender","englishExposure","trialComments","sessionComments","ageCalc"
"1","practice",NA,1,"apple_1","skip",NA,12813,"blank",NA,"15:12","set4",NA,NA,NA,"NO PARENT",NA
"2","practice",NA,2,"apple_2","skip",NA,4114,"blank",NA,"15:12","set4",NA,NA,NA,"NO PARENT",NA
"3","practice",NA,3,"apple_3","skip",NA,3110,"blank",NA,"15:12","set4",NA,NA,NA,"NO PARENT",NA
"4","practice",NA,4,"apple_1","skip",NA,11865,"blank",NA,"15:12","set4",NA,NA,NA,"NO PARENT",NA
"5","study","do you think this one is an animal?",5,"BI2A00001","YES",NA,11588,"blank",NA,"15:12","set4",NA,NA,NA,"NO PARENT",NA
"6","study","do you think this one is an animal?",6,"BI2A00039","maybe NO",-0.5,41065,"blank",NA,"15:12","set4",NA,NA,NA,"NO PARENT",NA
"7","study","do you think this one is an animal?",7,"BI2A00048","maybe YES",0.5,34409,"blank",NA,"15:12","set4",NA,NA,NA,"NO PARENT",NA
"8","study","do you think this one is an animal?",8,"BI2A00029","maybe NO",-0.5,18231,"blank",NA,"15:12","set4",NA,NA,NA,"NO PARENT",NA
"9","study","do you think this one is an animal?",9,"BI2A00023","skip",NA,22794,"blank",NA,"15:12","set4",NA,NA,NA,"NO PARENT",NA
"10","study","do you think this one is an animal?",10,"BI2A00021","NO",NA,15953,"blank",NA,"15:12","set4",NA,NA,NA,"NO PARENT",NA
"11","study","do you think this one is an animal?",11,"BI2A00024","definitely YES",2.5,23170,"blank",NA,"15:12","set4",NA,NA,NA,"NO PARENT",NA
"12","study","do you think this one is an animal?",12,"BI2A00011","definitely YES",2.5,7751,"blank",NA,"15:12","set4",NA,NA,NA,"NO PARENT",NA
"13","study","do you think this one is an animal?",13,"BI2A00009","maybe YES",0.5,12075,"blank",NA,"15:12","set4",NA,NA,NA,"NO PARENT",NA
"14","study","do you think this one is an animal?",14,"BI2A00022","maybe YES",0.5,42225,"blank",NA,"15:12","set4",NA,NA,NA,"NO PARENT",NA
"15","study","do you think this one is an animal?",15,"BI2A00042","skip",NA,21574,"blank",NA,"15:12","set4",NA,NA,NA,"NO PARENT",NA
"16","study","do you think this one is an animal?",16,"BI2A00012","skip",NA,9107,"blank",NA,"15:12","set4",NA,NA,NA,"NO PARENT",NA
"17","study","do you think this one is an animal?",1,"BI2A00014","probably NO",-1.5,25416,"p01",4.879452055,NA,"set1","male",NA,NA,NA,4y 0m 320d 0H 0M 0S
"18","study","do you think this one is an animal?",2,"BI2A00046","maybe NO",-0.5,16723,"p01",4.879452055,NA,"set1","male",NA,NA,NA,4y 0m 320d 0H 0M 0S
"19","study","do you think this one is an animal?",3,"BI2A00003","definitely YES",2.5,14635,"p01",4.879452055,NA,"set1","male",NA,NA,NA,4y 0m 320d 0H 0M 0S
"20","study","do you think this one is an animal?",4,"BI2A00020","maybe YES",0.5,19117,"p01",4.879452055,NA,"set1","male",NA,NA,NA,4y 0m 320d 0H 0M 0S
"21","study","do you think this one is an animal?",5,"BI2A00008","maybe YES",0.5,20500,"p01",4.879452055,NA,"set1","male",NA,NA,NA,4y 0m 320d 0H 0M 0S
"22","study","do you think this one is an animal?",6,"BI2A00030","definitely NO",-2.5,10484,"p01",4.879452055,NA,"set1","male",NA,NA,NA,4y 0m 320d 0H 0M 0S
"23","study","do you think this one is an animal?",7,"BI2A00043","definitely NO",-2.5,9153,"p01",4.879452055,NA,"set1","male",NA,NA,NA,4y 0m 320d 0H 0M 0S
"24","study","do you think this one is an animal?",8,"BI2A00047","maybe NO",-0.5,10344,"p01",4.879452055,NA,"set1","male",NA,NA,NA,4y 0m 320d 0H 0M 0S
"25","study","do you think this one is an animal?",9,"BI2A00028","probably YES",1.5,12612,"p01",4.879452055,NA,"set1","male",NA,NA,NA,4y 0m 320d 0H 0M 0S
"26","study","do you think this one is an animal?",10,"BI2A00033","definitely NO",-2.5,18666,"p01",4.879452055,NA,"set1","male",NA,NA,NA,4y 0m 320d 0H 0M 0S
"27","study","do you think this one is an animal?",11,"BI2A00031","definitely NO",-2.5,8887,"p01",4.879452055,NA,"set1","male",NA,NA,NA,4y 0m 320d 0H 0M 0S
"28","study","do you think this one is an animal?",12,"BI2A00015","maybe YES",0.5,11994,"p01",4.879452055,NA,"set1","male",NA,NA,NA,4y 0m 320d 0H 0M 0S
"29","study","do you think this one is an animal?",1,"BI2A00015","n",NA,14314,"p02",3.082191781,NA,"set1","male","always","",NA,3y 0m 29d 6H 0M 0S
"30","study","do you think this one is an animal?",2,"BI2A00008","y",NA,5331,"p02",3.082191781,NA,"set1","male","always","",NA,3y 0m 29d 6H 0M 0S
"31","study","do you think this one is an animal?",3,"BI2A00014","y",NA,4317,"p02",3.082191781,NA,"set1","male","always","",NA,3y 0m 29d 6H 0M 0S
"32","study","do you think this one is an animal?",4,"BI2A00033","n",NA,11763,"p02",3.082191781,NA,"set1","male","always","sand",NA,3y 0m 29d 6H 0M 0S
"33","study","do you think this one is an animal?",5,"BI2A00031","n",NA,20431,"p02",3.082191781,NA,"set1","male","always","black thing carpet",NA,3y 0m 29d 6H 0M 0S
"34","study","do you think this one is an animal?",6,"BI2A00030","n",NA,13259,"p02",3.082191781,NA,"set1","male","always","",NA,3y 0m 29d 6H 0M 0S
"35","study","do you think this one is an animal?",7,"BI2A00047","n",NA,6137,"p02",3.082191781,NA,"set1","male","always","",NA,3y 0m 29d 6H 0M 0S
"36","study","do you think this one is an animal?",8,"BI2A00046","n",NA,5069,"p02",3.082191781,NA,"set1","male","always","",NA,3y 0m 29d 6H 0M 0S
"37","study","do you think this one is an animal?",9,"BI2A00020","n",NA,7038,"p02",3.082191781,NA,"set1","male","always","",NA,3y 0m 29d 6H 0M 0S
"38","study","do you think this one is an animal?",10,"BI2A00003","y",NA,5266,"p02",3.082191781,NA,"set1","male","always","",NA,3y 0m 29d 6H 0M 0S
"39","study","do you think this one is an animal?",11,"BI2A00043","y",NA,24703,"p02",3.082191781,NA,"set1","male","always","",NA,3y 0m 29d 6H 0M 0S
"40","study","do you think this one is an animal?",12,"BI2A00028","n",NA,6251,"p02",3.082191781,NA,"set1","male","always","",NA,3y 0m 29d 6H 0M 0S
"41","bonus","do you think this can feel happy?",13,"BI2A00043","n",NA,12049,"p02",3.082191781,NA,"set1","male","always","",NA,3y 0m 29d 6H 0M 0S
"42","bonus","do you think this one has feelings",14,"BI2A00008","y",NA,6863,"p02",3.082191781,NA,"set1","male","always","",NA,3y 0m 29d 6H 0M 0S
"43","bonus","do you think this one can think?",15,"BI2A00031","n",NA,6581,"p02",3.082191781,NA,"set1","male","always","",NA,3y 0m 29d 6H 0M 0S
"44","bonus","do you think this one can sense things nearby",16,"BI2A00046","n",NA,7873,"p02",3.082191781,NA,"set1","male","always","",NA,3y 0m 29d 6H 0M 0S
"45","bonus","do you think this one can feel pain",17,"BI2A00003","n",NA,12623,"p02",3.082191781,NA,"set1","male","always","",NA,3y 0m 29d 6H 0M 0S
"46","bonus","do you think this one can feel hungry",18,"BI2A00020","y",NA,5750,"p02",3.082191781,NA,"set1","male","always","",NA,3y 0m 29d 6H 0M 0S
"47","study","do you think this one is an animal?",1,"BI2A00045","n",NA,22880,"p03",3.621917808,NA,"set2","female","always","basket",NA,3y 0m 226d 6H 0M 0S
"48","study","do you think this one is an animal?",2,"BI2A00034","n",NA,14199,"p03",3.621917808,NA,"set2","female","always","",NA,3y 0m 226d 6H 0M 0S
"49","study","do you think this one is an animal?",3,"BI2A00040","n",NA,9477,"p03",3.621917808,NA,"set2","female","always","carpet",NA,3y 0m 226d 6H 0M 0S
"50","study","do you think this one is an animal?",4,"BI2A00032","n",NA,11427,"p03",3.621917808,NA,"set2","female","always","wallet",NA,3y 0m 226d 6H 0M 0S
"51","study","do you think this one is an animal?",5,"BI2A00016","n",NA,10416,"p03",3.621917808,NA,"set2","female","always","",NA,3y 0m 226d 6H 0M 0S
"52","study","do you think this one is an animal?",6,"BI2A00038","n",NA,11422,"p03",3.621917808,NA,"set2","female","always","",NA,3y 0m 226d 6H 0M 0S
"53","study","do you think this one is an animal?",7,"BI2A00037","n",NA,7475,"p03",3.621917808,NA,"set2","female","always","",NA,3y 0m 226d 6H 0M 0S
"54","study","do you think this one is an animal?",8,"BI2A00002","y",NA,18446,"p03",3.621917808,NA,"set2","female","always","dinosaur",NA,3y 0m 226d 6H 0M 0S
"55","study","do you think this one is an animal?",9,"BI2A00013","n",NA,8658,"p03",3.621917808,NA,"set2","female","always","",NA,3y 0m 226d 6H 0M 0S
"56","study","do you think this one is an animal?",10,"BI2A00041","n",NA,4475,"p03",3.621917808,NA,"set2","female","always","",NA,3y 0m 226d 6H 0M 0S
"57","study","do you think this one is an animal?",11,"BI2A00006","n",NA,7380,"p03",3.621917808,NA,"set2","female","always","",NA,3y 0m 226d 6H 0M 0S
"58","study","do you think this one is an animal?",12,"BI2A00004","n",NA,5334,"p03",3.621917808,NA,"set2","female","always","",NA,3y 0m 226d 6H 0M 0S
"59","study","do you think this one is an animal?",1,"BI2A00029","maybe NO",-0.5,17443,"p04",3.830136986,NA,"set4","female",NA,NA,"PARENTS TALKING DURING SESSION, GIVING ANSWERS",3y 0m 302d 6H 0M 0S
"60","study","do you think this one is an animal?",2,"BI2A00011","maybe NO",-0.5,22317,"p04",3.830136986,NA,"set4","female",NA,NA,"PARENTS TALKING DURING SESSION, GIVING ANSWERS",3y 0m 302d 6H 0M 0S
"61","study","do you think this one is an animal?",3,"BI2A00021","maybe NO",-0.5,10965,"p04",3.830136986,NA,"set4","female",NA,NA,"PARENTS TALKING DURING SESSION, GIVING ANSWERS",3y 0m 302d 6H 0M 0S
"62","study","do you think this one is an animal?",4,"BI2A00024","skip",NA,45856,"p04",3.830136986,NA,"set4","female",NA,NA,"PARENTS TALKING DURING SESSION, GIVING ANSWERS",3y 0m 302d 6H 0M 0S
"63","study","do you think this one is an animal?",5,"BI2A00042","maybe NO",-0.5,42111,"p04",3.830136986,NA,"set4","female",NA,NA,"PARENTS TALKING DURING SESSION, GIVING ANSWERS",3y 0m 302d 6H 0M 0S
"64","study","do you think this one is an animal?",6,"BI2A00012","maybe NO",-0.5,15506,"p04",3.830136986,NA,"set4","female",NA,NA,"PARENTS TALKING DURING SESSION, GIVING ANSWERS",3y 0m 302d 6H 0M 0S
"65","study","do you think this one is an animal?",7,"BI2A00001","skip",NA,44761,"p04",3.830136986,NA,"set4","female",NA,NA,"PARENTS TALKING DURING SESSION, GIVING ANSWERS",3y 0m 302d 6H 0M 0S
"66","study","do you think this one is an animal?",8,"BI2A00022","maybe NO",-0.5,7083,"p04",3.830136986,NA,"set4","female",NA,NA,"PARENTS TALKING DURING SESSION, GIVING ANSWERS",3y 0m 302d 6H 0M 0S
"67","study","do you think this one is an animal?",9,"BI2A00039","maybe NO",-0.5,5312,"p04",3.830136986,NA,"set4","female",NA,NA,"PARENTS TALKING DURING SESSION, GIVING ANSWERS",3y 0m 302d 6H 0M 0S
"68","study","do you think this one is an animal?",10,"BI2A00009","maybe NO",-0.5,11327,"p04",3.830136986,NA,"set4","female",NA,NA,"PARENTS TALKING DURING SESSION, GIVING ANSWERS",3y 0m 302d 6H 0M 0S
"69","study","do you think this one is an animal?",11,"BI2A00023","skip",NA,17803,"p04",3.830136986,NA,"set4","female",NA,NA,"PARENTS TALKING DURING SESSION, GIVING ANSWERS",3y 0m 302d 6H 0M 0S
"70","study","do you think this one is an animal?",12,"BI2A00048","skip",NA,569,"p04",3.830136986,NA,"set4","female",NA,NA,"PARENTS TALKING DURING SESSION, GIVING ANSWERS",3y 0m 302d 6H 0M 0S
"71","study","do you think this one is an animal?",1,"BI2A00026","definitely YES",2.5,22804,"p05",4.693150685,NA,"set3","female","always",NA,NA,4y 0m 252d 0H 0M 0S
"72","study","do you think this one is an animal?",2,"BI2A00036","maybe NO",-0.5,26745,"p05",4.693150685,NA,"set3","female","always",NA,NA,4y 0m 252d 0H 0M 0S
"73","study","do you think this one is an animal?",3,"BI2A00027","definitely YES",2.5,21958,"p05",4.693150685,NA,"set3","female","always",NA,NA,4y 0m 252d 0H 0M 0S
"74","study","do you think this one is an animal?",4,"BI2A00035","definitely NO",-2.5,18273,"p05",4.693150685,NA,"set3","female","always",NA,NA,4y 0m 252d 0H 0M 0S
"75","study","do you think this one is an animal?",5,"BI2A00007","maybe YES",0.5,21511,"p05",4.693150685,NA,"set3","female","always",NA,NA,4y 0m 252d 0H 0M 0S
"76","study","do you think this one is an animal?",6,"BI2A00019","definitely YES",2.5,29024,"p05",4.693150685,NA,"set3","female","always",NA,NA,4y 0m 252d 0H 0M 0S
"77","study","do you think this one is an animal?",7,"BI2A00025","probably NO",-1.5,25284,"p05",4.693150685,NA,"set3","female","always",NA,NA,4y 0m 252d 0H 0M 0S
"78","study","do you think this one is an animal?",8,"BI2A00017","definitely YES",2.5,21660,"p05",4.693150685,NA,"set3","female","always",NA,NA,4y 0m 252d 0H 0M 0S
"79","study","do you think this one is an animal?",9,"BI2A00010","definitely YES",2.5,17311,"p05",4.693150685,NA,"set3","female","always",NA,NA,4y 0m 252d 0H 0M 0S
"80","study","do you think this one is an animal?",10,"BI2A00005","maybe YES",0.5,14195,"p05",4.693150685,NA,"set3","female","always",NA,NA,4y 0m 252d 0H 0M 0S
"81","study","do you think this one is an animal?",11,"BI2A00018","definitely NO",-2.5,15235,"p05",4.693150685,NA,"set3","female","always",NA,NA,4y 0m 252d 0H 0M 0S
"82","study","do you think this one is an animal?",12,"BI2A00044","definitely NO",-2.5,8898,"p05",4.693150685,NA,"set3","female","always",NA,NA,4y 0m 252d 0H 0M 0S
"83","bonus","do you think this can feel happy?",13,"BI2A00007","definitely YES",2.5,17701,"p05",4.693150685,NA,"set3","female","always",NA,NA,4y 0m 252d 0H 0M 0S
"84","bonus","do you think this one has feelings?",14,"BI2A00018","definitely NO",-2.5,16660,"p05",4.693150685,NA,"set3","female","always",NA,NA,4y 0m 252d 0H 0M 0S
"85","bonus","do you think this one can feel hungry?",15,"BI2A00005","definitely YES",2.5,14068,"p05",4.693150685,NA,"set3","female","always",NA,NA,4y 0m 252d 0H 0M 0S
"86","bonus","do you think this one can think?",16,"BI2A00017","definitely YES",2.5,15843,"p05",4.693150685,NA,"set3","female","always",NA,NA,4y 0m 252d 0H 0M 0S
"87","bonus","do you think this one can feel pain?",17,"BI2A00044","maybe NO",-0.5,16631,"p05",4.693150685,NA,"set3","female","always",NA,NA,4y 0m 252d 0H 0M 0S
"88","bonus","do you think this one can sense things nearby?",18,"BI2A00035","definitely NO",-2.5,18694,"p05",4.693150685,NA,"set3","female","always",NA,NA,4y 0m 252d 0H 0M 0S
"89","study","do you think this one is an animal?",1,"BI2A00008","y",NA,13834,"p06",3.287671233,NA,"set1","female","always","",NA,3y 0m 104d 6H 0M 0S
"90","study","do you think this one is an animal?",2,"BI2A00003","y",NA,6708,"p06",3.287671233,NA,"set1","female","always","",NA,3y 0m 104d 6H 0M 0S
"91","study","do you think this one is an animal?",3,"BI2A00047","y",NA,6074,"p06",3.287671233,NA,"set1","female","always","",NA,3y 0m 104d 6H 0M 0S
"92","study","do you think this one is an animal?",4,"BI2A00015","y",NA,4702,"p06",3.287671233,NA,"set1","female","always","",NA,3y 0m 104d 6H 0M 0S
"93","study","do you think this one is an animal?",5,"BI2A00033","y",NA,6277,"p06",3.287671233,NA,"set1","female","always","",NA,3y 0m 104d 6H 0M 0S
"94","study","do you think this one is an animal?",6,"BI2A00046","y",NA,8057,"p06",3.287671233,NA,"set1","female","always","",NA,3y 0m 104d 6H 0M 0S
"95","study","do you think this one is an animal?",7,"BI2A00014","y",NA,16725,"p06",3.287671233,NA,"set1","female","always","maybe a giraffe",NA,3y 0m 104d 6H 0M 0S
"96","study","do you think this one is an animal?",8,"BI2A00031","y",NA,17155,"p06",3.287671233,NA,"set1","female","always","maybe a polkadot",NA,3y 0m 104d 6H 0M 0S
"97","study","do you think this one is an animal?",9,"BI2A00043","y",NA,13347,"p06",3.287671233,NA,"set1","female","always","maybe a panda",NA,3y 0m 104d 6H 0M 0S
"98","study","do you think this one is an animal?",10,"BI2A00020","y",NA,8274,"p06",3.287671233,NA,"set1","female","always","",NA,3y 0m 104d 6H 0M 0S
"99","study","do you think this one is an animal?",11,"BI2A00028","y",NA,9639,"p06",3.287671233,NA,"set1","female","always","",NA,3y 0m 104d 6H 0M 0S
"100","study","do you think this one is an animal?",12,"BI2A00030","y",NA,15524,"p06",3.287671233,NA,"set1","female","always","a baby panda",NA,3y 0m 104d 6H 0M 0S
"101","bonus","do you think this can feel happy?",13,"BI2A00043","y",NA,11193,"p06",3.287671233,NA,"set1","female","always","",NA,3y 0m 104d 6H 0M 0S
"102","bonus","do you think this one can think?",14,"BI2A00046","y",NA,7455,"p06",3.287671233,NA,"set1","female","always","",NA,3y 0m 104d 6H 0M 0S
"103","bonus","do you think this one has feelings?",15,"BI2A00020","y",NA,9240,"p06",3.287671233,NA,"set1","female","always","",NA,3y 0m 104d 6H 0M 0S
"104","bonus","do you think this one can feel hungry?",16,"BI2A00003","skip",NA,17981,"p06",3.287671233,NA,"set1","female","always","baby giraffe",NA,3y 0m 104d 6H 0M 0S
"105","bonus","do you think this one can feel pain?",17,"BI2A00008","skip",NA,20844,"p06",3.287671233,NA,"set1","female","always","a brother giraffe",NA,3y 0m 104d 6H 0M 0S
"106","bonus","do you think this one can sense things nearby?",18,"BI2A00031","skip",NA,15234,"p06",3.287671233,NA,"set1","female","always","a baby giraffe",NA,3y 0m 104d 6H 0M 0S
"107","study","do you think this one is an animal?",1,"BI2A00006","n",NA,17843,"p07",3.347945205,NA,"set2","female",NA,NA,"LIMITED ENGLISH",3y 0m 126d 6H 0M 0S
"108","study","do you think this one is an animal?",2,"BI2A00045","n",NA,7673,"p07",3.347945205,NA,"set2","female",NA,NA,"LIMITED ENGLISH",3y 0m 126d 6H 0M 0S
